bBoxMeanR,bBoxMeanG,bBoxMeanB,eBoxMeanR,eBoxMeanG,eBoxMeanB
169,148,149,161,139,120
169,148,149,161,139,120
106,102,94,119,116,114
182,129,123,154,141,126
188,201,204,116,93,65
166,163,182,141,141,141
166,163,182,141,141,141
183,180,170,132,131,131
154,138,113,160,153,147
167,170,160,143,127,99
167,170,160,143,127,99
156,154,139,188,168,148
156,154,139,188,168,148
156,154,139,188,168,148
101,84,93,134,115,102
101,84,93,134,115,102
187,195,202,97,94,91
187,195,202,97,94,91
187,195,202,97,94,91
187,195,202,97,94,91
147,129,119,140,117,100
-2147483648,-2147483648,-2147483648,126,111,92
128,156,165,119,115,111
212,210,215,138,136,135
96,97,104,128,132,131
142,134,128,157,151,146
182,187,191,173,170,171
137,96,62,161,143,124
136,125,116,119,106,96
141,135,125,148,122,96
149,133,101,152,145,138
149,133,101,152,145,138
66,92,126,137,127,118
155,154,158,133,128,122
155,154,158,133,128,122
136,121,114,124,112,103
223,208,194,111,110,111
179,194,201,165,163,151
145,133,124,128,116,108
57,153,227,111,111,109
150,179,195,142,122,89
158,161,123,150,128,109
158,161,123,150,128,109
148,135,129,130,116,106
178,191,192,150,122,97
178,191,192,150,122,97
144,129,119,132,120,112
116,165,197,148,134,119
190,172,143,187,168,147
190,172,143,187,168,147
160,154,152,152,146,141
160,154,152,152,146,141
159,154,138,149,124,90
71,73,64,174,159,144
148,153,156,137,137,137
148,153,156,137,137,137
156,144,137,141,127,118
170,106,116,153,127,104
170,106,116,153,127,104
118,188,224,153,138,122
118,188,224,153,138,122
145,135,133,120,110,103
191,187,179,193,190,188
173,178,173,137,116,83
85,83,106,122,120,116
85,83,106,122,120,116
172,153,157,147,118,95
172,153,157,147,118,95
91,91,85,158,143,128
162,148,127,142,118,85
109,91,77,118,108,101
109,91,77,118,108,101
122,158,195,95,87,83
172,174,174,145,142,137
161,162,167,162,160,162
130,160,159,153,126,91
130,160,159,153,126,91
127,138,148,153,139,126
176,212,235,98,92,88
188,169,150,187,168,147
188,169,150,187,168,147
-2147483648,-2147483648,-2147483648,126,110,87
147,160,165,152,125,90
147,160,165,152,125,90
147,160,165,152,125,90
147,160,165,152,125,90
220,218,216,202,200,198
220,218,216,202,200,198
144,140,142,150,144,142
162,154,147,150,144,138
162,154,147,150,144,138
130,161,168,148,122,95
166,157,156,162,157,152
126,132,144,138,119,112
126,132,144,138,119,112
-2147483648,-2147483648,-2147483648,119,105,82
-2147483648,-2147483648,-2147483648,119,105,82
153,157,162,135,133,134
135,135,168,137,125,113
135,135,168,137,125,113
131,134,133,115,109,99
131,134,133,115,109,99
158,159,125,152,139,125
202,198,197,168,163,160
151,156,160,136,134,135
155,159,164,126,127,129
201,182,159,191,172,152
201,182,159,191,172,152
165,159,155,146,140,136
165,159,155,146,140,136
139,139,137,150,137,124
165,144,126,160,137,117
144,148,152,131,131,134
154,139,125,139,123,110
154,139,125,139,123,110
113,125,145,165,142,121
113,125,145,165,142,121
145,148,153,130,131,133
149,139,143,144,131,118
157,183,181,145,138,130
180,168,145,155,133,99
-2147483648,-2147483648,-2147483648,120,106,87
98,138,101,173,162,147
162,158,154,167,162,157
162,158,154,167,162,157
212,226,234,137,118,100
127,117,101,142,129,118
188,140,112,149,136,120
180,176,158,157,136,105
216,197,173,154,141,127
159,148,135,166,144,123
101,107,110,111,107,98
101,107,110,111,107,98
148,171,173,138,132,124
148,171,173,138,132,124
211,195,180,194,174,154
147,139,135,133,120,112
165,174,171,123,101,71
137,161,165,130,113,101
176,173,171,158,149,139
146,186,225,99,92,88
156,137,156,153,140,126
156,137,156,153,140,126
162,146,145,174,147,123
204,220,230,147,129,111
120,112,105,126,117,110
196,198,203,155,142,126
205,185,166,191,171,151
147,147,147,129,127,126
168,144,110,153,130,98
177,191,195,122,119,117
194,196,187,164,151,136
194,196,187,164,151,136
148,136,126,124,115,108
171,166,164,141,135,131
152,138,125,155,127,100
166,158,151,160,147,133
166,158,151,160,147,133
167,159,147,154,149,143
171,163,152,187,183,179
171,158,106,150,124,89
171,158,106,150,124,89
145,135,136,127,113,103
210,188,167,194,175,155
116,121,126,98,93,86
165,148,121,145,118,85
146,145,145,129,128,126
161,156,155,149,144,142
166,147,116,152,132,100
108,115,122,154,129,107
111,89,115,160,157,155
131,119,95,144,124,92
124,119,121,148,140,132
124,119,121,148,140,132
167,179,176,171,141,115
147,145,145,131,129,128
176,191,197,149,128,110
118,89,66,130,112,95
142,186,231,111,104,98
104,100,104,129,119,113
203,211,209,147,124,105
171,155,128,153,128,94
171,155,128,153,128,94
138,170,191,160,125,94
138,170,191,160,125,94
166,160,150,182,179,174
79,144,208,151,149,148
107,113,132,135,118,106
164,149,117,147,121,87
164,149,117,147,121,87
164,149,117,147,121,87
176,159,148,188,169,149
110,85,66,128,116,108
170,153,162,110,104,105
170,153,162,110,104,105
180,162,147,184,165,145
192,176,54,171,162,153
110,88,70,120,109,104
96,123,172,145,140,133
-2147483648,-2147483648,-2147483648,121,117,113
147,182,209,101,95,91
159,199,230,130,114,101
184,153,130,193,173,153
96,68,48,123,111,105
162,157,156,147,141,140
171,187,209,156,126,98
167,141,123,191,172,151
220,128,127,167,153,138
100,148,207,127,111,100
195,202,216,124,117,110
202,199,198,186,182,179
194,175,142,156,140,123
-2147483648,-2147483648,-2147483648,132,127,122
160,196,187,134,131,128
157,194,228,101,93,86
172,163,151,188,169,149
146,154,139,146,144,142
177,176,173,140,136,133
105,149,193,124,107,96
87,89,86,185,182,177
170,147,125,160,127,95
171,164,154,186,167,146
145,139,127,129,109,79
174,183,197,156,141,124
167,202,197,129,127,125
148,130,106,131,110,81
175,163,195,98,96,93
166,165,160,149,146,142
166,165,160,149,146,142
166,165,160,149,146,142
196,169,121,190,171,150
164,191,202,100,99,96
164,191,202,100,99,96
-2147483648,-2147483648,-2147483648,136,129,126
124,99,70,129,108,90
174,159,156,193,174,153
172,161,89,91,87,80
164,159,158,164,134,108
195,179,143,178,177,176
184,181,181,176,166,153
184,181,181,176,166,153
190,152,130,191,172,151
215,226,231,139,119,100
200,213,206,129,127,125
157,168,137,185,183,178
157,168,137,185,183,178
145,150,151,153,123,93
206,196,162,191,172,151
219,219,223,141,119,99
223,217,205,188,169,148
-2147483648,-2147483648,-2147483648,140,135,128
-2147483648,-2147483648,-2147483648,140,135,128
158,126,102,135,116,104
147,132,109,136,110,77
204,186,165,193,174,153
228,225,230,91,87,84
173,156,142,172,146,124
127,164,156,144,133,122
166,159,157,134,132,130
162,173,171,170,162,151
162,173,171,170,162,151
162,173,171,170,162,151
162,173,171,170,162,151
157,138,125,142,123,110
151,117,122,154,151,147
161,112,94,150,127,93
161,112,94,150,127,93
158,150,142,190,172,151
