bBoxMeanR,bBoxMeanG,bBoxMeanB,eBoxMeanR,eBoxMeanG,eBoxMeanB
173,185,190,145,131,119
123,155,152,129,115,102
153,160,167,158,158,155
146,129,114,140,132,123
146,129,114,140,132,123
136,113,102,130,113,100
146,141,136,144,139,134
82,139,159,157,157,156
159,191,216,138,123,112
176,166,159,183,169,154
176,166,159,183,169,154
153,148,143,157,152,147
109,109,115,103,100,100
160,184,175,115,105,103
161,151,119,105,103,99
161,151,119,105,103,99
161,168,177,137,118,103
161,168,177,137,118,103
180,166,157,170,165,160
143,142,141,135,134,133
158,153,151,145,140,134
158,153,151,145,140,134
124,124,129,105,102,103
160,148,135,139,131,122
133,111,99,134,119,109
174,174,180,152,140,129
174,174,180,152,140,129
123,101,89,121,108,99
123,101,89,121,108,99
199,200,213,98,93,82
214,148,144,156,153,146
139,156,155,158,157,154
163,182,199,160,149,136
134,110,98,129,116,108
114,113,116,142,141,139
124,109,87,124,107,99
124,109,87,124,107,99
158,152,155,133,119,108
158,152,155,133,119,108
196,200,204,149,137,122
123,104,94,121,108,100
123,104,94,121,108,100
188,75,79,173,170,168
153,153,161,127,119,123
210,70,88,168,150,135
168,161,170,102,98,87
168,161,170,102,98,87
153,133,112,146,132,119
153,133,112,146,132,119
153,133,112,146,132,119
150,57,66,135,125,118
205,197,188,144,143,142
172,182,189,165,153,139
172,182,189,165,153,139
166,207,232,149,148,143
120,124,119,160,153,141
120,124,119,160,153,141
180,183,190,163,145,131
77,79,82,159,155,151
152,160,158,165,164,161
152,160,158,165,164,161
158,186,201,126,107,102
140,152,164,126,109,94
134,147,148,141,132,123
134,147,148,141,132,123
134,147,148,141,132,123
-2147483648,-2147483648,-2147483648,94,91,83
-2147483648,-2147483648,-2147483648,94,91,83
-2147483648,-2147483648,-2147483648,94,91,83
-2147483648,-2147483648,-2147483648,94,91,83
-2147483648,-2147483648,-2147483648,94,91,83
236,188,23,147,123,102
139,149,148,163,163,160
127,108,90,149,140,132
127,108,90,149,140,132
161,154,145,128,112,100
152,146,138,150,147,143
178,178,182,155,151,146
178,178,182,155,151,146
155,133,108,149,139,129
155,133,108,149,139,129
126,127,123,125,112,100
169,188,185,128,124,120
200,210,215,115,115,111
186,167,147,164,146,130
113,102,88,122,104,94
113,102,88,122,104,94
135,118,100,155,145,135
135,118,100,155,145,135
135,118,100,155,145,135
155,142,131,126,111,100
54,49,38,93,90,82
54,49,38,93,90,82
54,49,38,93,90,82
54,49,38,93,90,82
138,122,104,152,143,133
138,122,104,152,143,133
170,142,149,152,143,135
114,121,116,122,109,96
129,126,121,142,137,131
129,126,121,142,137,131
151,136,117,149,140,132
151,136,117,149,140,132
151,136,117,149,140,132
151,136,117,149,140,132
151,136,117,149,140,132
151,136,117,149,140,132
180,184,173,157,157,155
87,104,120,118,104,91
131,129,127,145,144,143
208,195,181,128,124,114
112,112,109,105,97,87
141,129,120,124,108,95
111,107,105,120,117,117
151,178,150,155,147,139
172,185,185,118,102,89
163,202,225,79,67,63
160,154,146,128,112,102
148,151,151,146,138,130
187,147,148,161,160,158
180,181,27,116,103,84
195,177,180,156,133,117
45,40,30,92,89,81
45,40,30,92,89,81
45,40,30,92,89,81
142,163,160,144,132,121
142,163,160,144,132,121
172,188,189,156,132,116
117,96,68,111,93,83
117,96,68,111,93,83
117,96,68,111,93,83
117,96,68,111,93,83
158,153,143,179,168,156
158,153,143,179,168,156
129,134,137,142,140,139
133,133,130,152,142,133
133,133,130,152,142,133
134,129,120,130,129,35
176,192,187,163,141,125
195,194,178,181,173,158
195,194,178,181,173,158
155,141,132,127,113,103
47,44,35,96,94,86
47,44,35,96,94,86
173,172,193,149,137,124
150,157,139,159,148,139
150,157,139,159,148,139
199,195,188,180,169,155
199,195,188,180,169,155
172,164,157,161,139,120
185,181,169,150,150,145
185,181,169,150,150,145
174,171,195,150,138,125
171,165,185,151,139,126
149,128,116,134,120,111
169,164,183,146,135,122
149,189,213,76,65,62
140,134,128,150,146,139
172,167,188,150,138,126
186,162,146,168,150,136
164,167,134,163,148,137
164,167,134,163,148,137
169,168,167,139,138,136
132,146,179,143,133,122
125,101,91,140,126,117
125,101,91,140,126,117
-2147483648,-2147483648,-2147483648,109,108,98
197,196,201,143,137,133
184,119,115,163,158,157
126,140,179,140,129,118
173,184,178,161,130,106
211,204,137,150,139,126
127,145,187,140,129,118
166,172,143,165,150,140
166,172,143,165,150,140
166,172,143,165,150,140
157,160,162,105,96,92
157,160,162,105,96,92
128,164,196,105,87,78
156,148,143,145,141,136
164,163,162,156,134,116
132,156,190,145,134,123
169,168,172,130,126,126
139,117,109,179,174,168
