AllPixelMeanR,AllPixelMeanG,AllPixelMeanB
133,115,100
146,138,131
156,131,114
150,146,143
134,126,117
134,126,117
117,129,100
144,135,126
144,135,126
144,135,126
144,135,126
144,135,126
144,135,126
144,135,126
144,135,126
144,135,126
187,177,162
187,177,162
187,177,162
158,155,146
126,111,106
140,113, 94
192,179,163
192,179,163
190,187,184
142,119,101
172,171,170
161,149,142
161,149,142
161,149,142
161,149,142
161,149,142
143,133,123
173,139,96
173,139,96
173,139,96
173,139,96
173,139,96
147,138,129
145,134,125
156,129,109
114,118,114
140,115,95
156,149,145
159,134,122
159,134,122
145,135,126
113,113,109
147,137,127
151,131,115
155,146,140
189,182,175
191,181,168
185,183,180
119,121,117
141,122,108
143,127,111
143,134,124
144,146,145
180,179,176
149,128,111
126,124,122
126,124,122
126,124,122
115,116,111
159,140,133
157,129,110
157,129,110
157,129,110
166,151,137
141,134,127
118,118,116
133,121,109
155,131,115
143,135,126
157,150,143
145,136,127
145,138,129
145,136,128
155,153,148
155,153,148
157,156,154
175,158,148
112,108,103
112,108,103
112,108,103
144,134,126
148,128,96
148,138,130
143,132,119
149,139,131
165,146,111
165,146,111
139,127,113
158,130,111
158,149,142
158,149,142
158,149,142
158,149,142
158,149,142
158,149,142
158,149,142
133,125,120
142,128,112
142,135,128
180,166,150
160,150,140
160,151,144
135,115,103
159,150,139
149,123,105
157,149,139
157,149,139
164,148,119
164,148,119
164,148,119
158,148,138
162,152,138
162,152,138
196,192,189
158,149,139
157,148,138
187,180,173
152,128,116
153,143,135
153,143,135
157,135,124
149,129,98
149,129,98
149,129,98
149,129,98
143,124,108
143,124,108
143,124,108
188,181,174
147,137,129
147,137,129
148,137,127
148,137,127
134,122,111
162,159,151
148,138,130
148,138,130
153,152,149
143,138,134
141,136,132
145,135,127
145,135,127
157,149,140
157,149,140
132,117,90
143,140,135
171,156,140
143,140,136
142,132,118
142,132,118
162,140,104
179,172,165
159,157,151
75,73,72
143,139,135
151,140,132
179,169,155
122,110,100
150,138,127
181,169,154
144,133,125
167,147,103
147,147,146
152,139,129
147,131,103
147,131,103
209,208,206
176,169,163
141,130,120
176,173,169
168,156,141
152,142,133
158,150,143
158,150,143
158,150,143
148,140,130
148,140,130
148,140,130
163,161,159
140,130,117
124,106,95
124,106,95
158,155,150
151,143,132
151,143,132
151,143,132
196,184,174
152,155,150
167,165,162
151,143,132
151,143,132
151,143,132
151,127,91
160,144,129
151,143,132
151,143,132
151,143,132
184,182,177
157,156,153
152,144,133
152,144,133
152,144,133
149,124,90
138,128,121
115,108,103
115,108,103
158,153,145
175,169,167
182,175,167
71,70,69
160,136,100
176,168,160
154,132,116
151,149,147
143,134,127
143,134,127
143,134,127
143,124,111
128,117,112
164,143,104
164,143,104
132,121,112
151,144,133
151,144,133
151,144,133
152,126,112
156,150,143
184,175,163
184,175,163
184,175,163
186,180,172
186,180,172
193,177,161
165,164,163
157,147,139
167,166,164
157,156,153
157,156,153
157,156,153
156,144,135
154,129,94
154,129,94
162,157,152
195,179,162
144,137,131
123,112,108
123,112,108
156,146,138
140,133,127
154,133,118
154,143,130
187,171,155
139,132,126
161,157,153
62,62,61
146,123,107
139,133,127
156,145,135
136,130,124
150,129,114
186,180,171
186,180,171
186,180,171
192,176,159
173,170,167
142,137,129
148,138,127
143,122,105
194,179,162
101, 96,93
165,151,141
120,110,104
151,125,113
182,175,167
196,179,161
139,130,117
148,146,143
209,206,202
185,179,170
170,165,159
138,125,108
155,143,131
135,124,111
159,153,158
195,178,160
157,147,138
204,201,189
176,172,168
156,144,134
97,92,98
155,137,105
191,175,159
138,128,114
138,128,114
147,126,92
147,126,92
152,136,122
188,177,163
188,177,163
151,149,146
151,149,146
160,154,147
160,154,147
151,149,139
139,131,126
139,131,126
153,142,134
165,162,157
165,162,157
165,162,157
155,144,136
133,129,123
151,141,133
124,115,107
142,131,115
155,127,91
152,150,141
146,139,133
148,149,148
137,130,123
195,178,162
145,138,131
160,133,96
160,133,96
160,133,96
178,174,171
142,135,129
154,152,143
157,147,138
142,136,129
159,149,141
144,136,129
154,144,136
155,146,137
178,172,167
191,177,162
127,108,94
157,147,138
188,178,170
132,123,113
160,137,121
171,143,104
171,143,104
171,143,104
171,143,104
176,173,171
144,134,126
118,110,103
152,131,116
109,105,103
144,133,124
153,129,116
139,127,113
170,136,117
145,135,126
148,148,148
151,130,115
151,130,115
127,118,111
127,118,111
176,172,170
176,172,170
157,131,95
157,131,95
189,188,186
189,188,186
138,127,115
171,170,169
60,59,58
60,59,58
178,164,158
99,92,87 
99,92,87 
99,92,87 
150,135,123
136,127,114
136,127,114
104, 98,92
104, 98,92
104, 98,92
166,157,151
172,163,157
153,131,115
170,136,123
170,136,123
170,136,123
148,161,160
161,134,99
161,134,99
161,134,99
161,134,99
154,142,132
156,146,138
101, 95,90
101, 95,90
101, 95,90
191,188,184
161,151,143
163,169,178
157,148,139
109,103,99
109,103,99
109,103,99
100, 96,93
156,149,139
149,143,136
140,124,111
95,95,86
95,95,86
95,95,86
126,117,108
171,167,163
98,92,87
98,92,87
98,92,87
156,130,95
97,91,87
97,91,87
97,91,87
150,146,138
150,146,138
191,188,184
98,92,87
98,92,87
98,92,87
99,93,88
99,93,88
99,93,88
155,149,138
134,130,122
100, 94,90
100, 94,90
100, 94,90
147,129,116
147,129,116
163,157,155
163,140,106
163,140,106
143,115,95
143,115,95
143,115,95
162,161,154
202,198,194
177,163,153
177,163,153
145,140,132
145,140,132
173,167,155
163,146,113
140,115,96
152,147,142
135,125,116
183,171,171
151,144,138
130,120,111
145,135,127
212,212,208
212,212,208
149,142,135
146,135,122
136,111,92
136,111,92
136,111,92
136,111,92
186,169,152
149,137,130
149,137,130
146,139,133
189,180,178
142,132,125
162,138,101
162,138,101
162,138,101
141,121,105
150,147,145
142,132,125
146,139,132
138,121,109
138,121,109
138,121,109
196,182,167
120,110,102
156,152,147
146,139,133
151,151,151
146,136,128
164,159,154
78,80,81
147,138,126
190,172,155
208,207,203
155,152,150
163,151,139
142,136,128
142,136,128
188,172,155
141,124,111
155,152,149
141,115,96
128,121,112
147,137,128
152,145,138
166,136,103
148,136,129
148,136,129
148,136,129
145,135,127
154,147,140
153,151,149
181,165,149
145,135,127
141,112,94
141,112,94
159,153,149
159,153,149
159,153,149
59,58,58
143,133,126
129,120,112
176,156,134
176,156,134
176,156,134
176,156,134
176,156,134
164,160,156
156,120,87
155,147,141
156,153,150
156,153,150
145,135,127
138,127,115
138,127,115
155,135,117
160,156,153
151,149,147
149,142,135
164,162,159
167,163,159
140,135,128
140,135,128
140,135,128
123,117,108
123,117,108
148,141,134
148,141,134
146,146,145
146,146,145
149,142,135
152,150,148
139,134,128
145,139,132
151,144,137
115,105,98
115,105,98
115,105,98
115,105,98
139,130,118
139,130,118
148,127,92
156,147,137
156,147,137
164,160,155
154,134,99
177,159,136
164,163,160
180,177,175
166,141,127
152,149,145
148,145,142
136,132,125
136,132,125
136,132,125
138,129,117
138,129,117
169,158,147
169,158,147
150,145,140
150,147,143
126,125,118
126,125,118
123,118,115
150,130,97
145,134,124
142,143,144
156,146,138
157,152,147
146,136,126
144,134,125
117,107,100
117,107,100
164,162,159
157,152,141
157,152,141
157,152,141
163,143,108
161,159,152
156,136,117
145,135,127
146,140,133
172,164,157
145,135,126
150,143,137
151,144,138
147,142,133
147,142,133
147,142,133
148,146,143
135,133,127
149,143,137
157,138,119
157,138,119
159,155,150
150,131,109
157,151,146
157,151,146
149,143,134
129,123,116
144,134,125
148,142,135
184,177,169
184,177,169
143,134,126
135,131,123
175,168,160
175,168,160
142,133,124
123,127,124
203,200,198
200,190,177
156,138,105
156,138,105
156,138,105
156,138,105
173,169,162
173,169,162
121,120,117
124,120,114
144,137,133
144,131,121
166,157,147
166,157,147
186,185,181
182,177,172
182,177,172
145,132,120
128,123,114
128,123,114
128,123,114
128,123,114
128,123,114
173,165,156
164,142,108
168,165,161
168,165,161
118,108,102
132,126,119
180,174,170
147,133,123
162,155,148
162,155,148
116,109,103
143,129,118
161,136,101
134,132,126
176,168,160
176,168,160
142,120,107
120,114,107
172,155,134
186,180,176
165,146,112
161,149,139
146,132,122
116,110,105
152,141,132
152,141,132
152,141,132
165,163,159
144,137,127
144,137,133
144,137,133
126,115,106
144,134,126
141,120,105
115,108,104
145,138,131
164,145,112
164,145,112
142,131,124
121,117,111
139,119,106
157,154,140
140,130,123
187,182,178
187,182,178
165,142,107
144,134,126
191,173,156
191,173,156
141,134,127
145,134,127
161,150,138
161,150,138
159,148,142
159,148,142
170,167,162
100, 96,94
162,148,138
139,124,112
118,114,108
141,125,112
166,162,157
166,162,157
164,134,100
156,153,149
149,149,150
149,149,150
139,136,130
128,122,116
174,155,134
174,155,134
174,155,134
143,136,129
137,123,112
138,130,123
104, 83,69
104, 83,69
178,175,172
173,162,154
138,132,125
161,141,106
137,123,113
137,123,113
137,123,113
137,133,127
213,197,181
166,156,146
141,133,126
140,134,129
145,144,139
136,131,126
140,131,123
159,143,132
177,174,170
145,145,146
145,145,146
145,131,126
145,131,126
145,131,126
141,135,130
164,134,96
164,134,96
164,134,96
140,131,123
142,136,130
161,144,134
177,174,172
168,155,147
171,167,163
112,110,108
178,175,172
155,149,144
120,118,113
200,194,184
145,142,139
158,142,131
158,142,131
158,142,131
158,142,131
158,142,131
149,142,136
175,172,170
104, 90,77
104, 90,77
150,143,137
143,136,130
164,161,156
147,141,134
149,143,137
194,190,183
163,157,141
163,157,141
113,111,106
146,140,134
136,135,132
136,135,132
161,144,131
161,144,131
161,144,131
181,166,156
131,111,80
131,111,80
149,133,121
154,147,138
154,147,138
144,135,127
168,167,165
168,167,165
138,132,127
136,121,111
150,142,135
137,129,120
200,194,181
139,133,128
197,193,186
155,154,154
155,154,154
153,152,149
170,156,145
170,156,145
134,129,124
153,151,147
153,151,147
153,151,147
145,139,133
142,134,125
129,104,74
129,104,74
129,104,74
145,136,127
141,136,132
165,147,126
165,147,126
165,147,126
170,157,147
155,150,141
155,150,141
155,150,141
144,140,134
137,131,126
139,129,120
135,130,125
129,121,118
147,141,135
115,110,106
160,138,121
208,201,192
142,134,125
161,155,148
158,155,151
158,155,151
158,155,151
158,155,151
120,111,104
120,111,104
143,134,126
140,139,136
156,143,132
156,143,132
144,146,150
144,146,150
163,150,145
142,128,117
145,141,135
158,153,149
139,120,107
166,149,136
166,149,136
166,149,136
146,140,135
153,138,124
153,138,124
122,113,106
122,113,106
167,165,162
167,165,162
163,157,149
162,155,153
162,155,153
169,168,166
160,149,138
160,149,138
144,138,132
125,108,97
163,156,148
169,167,165
167,155,145
155,149,140
168,166,164
123,106,99
136,131,129
170,168,166
170,168,166
165,154,150
151,145,138
168,167,164
168,167,164
168,167,164
128,113,104
166,149,134
169,163,158
169,163,158
169,163,158
150,143,137
147,141,135
156,149,144
155,148,138
145,139,133
149,143,137
149,143,135
149,143,135
157,142,130
171,152,129
171,152,129
171,152,129
118,107,100
118,107,100
145,137,133
145,137,133
145,137,133
145,137,133
158,154,150
169,168,165
169,168,165
169,168,165
169,168,165
169,168,165
144,139,133
144,139,133
148,132,120
143,138,133
143,138,133
131,107,97
147,141,135
162,148,138
148,143,136
148,143,136
144,142,139
145,140,134
145,140,134
150,144,137
150,144,137
160,158,157
158,140,126
158,140,126
165,164,162
165,164,162
165,164,162
157,145,142
167,150,144
169,167,164
135,129,123
135,129,123
135,129,123
139,119,107
165,163,161
165,163,161
165,163,161
165,163,161
130,125,120
130,125,120
130,125,120
160,158,155
122,108,99
163,153,144
163,153,144
161,154,149
138,132,125
138,132,125
138,132,125
139,134,128
139,134,128
139,134,128
148,143,138
166,148,126
166,148,126
166,148,126
166,148,126
139,133,126
139,133,126
139,133,126
203,200,197
189,174,156
165,165,163
148,146,142
123,111,103
161,147,137
150,144,136
150,144,136
150,144,136
133,122,111
133,122,111
196,181,163
145,138,131
145,138,131
145,138,131
143,137,130
143,137,130
143,137,130
170,169,168
201,199,196
143,137,130
143,137,130
143,137,130
196,180,162
146,137,129
167,165,163
146,140,134
143,136,129
143,136,129
143,136,129
142,133,126
164,152,141
169,154,142
169,154,142
188,183,178
188,183,178
139,130,122
142,137,131
187,168,148
141,139,137
154,152,149
162,142,114
162,142,114
162,142,114
162,142,114
150,147,142
107, 96,92
131,118,107
131,118,107
166,165,162
167,151,137
167,151,137
162,158,152
163,152,141
163,152,141
183,166,147
166,146,118
166,146,118
166,146,118
146,143,138
170,168,163
200,197,194
187,169,149
150,144,137
150,144,137
167,166,163
136,126,117
150,144,138
150,144,138
158,149,140
194,191,187
148,141,135
148,141,135
140,130,121
153,135,120
146,139,134
146,139,134
170,170,167
170,170,167
191,174,155
116,105,98
116,105,98
165,163,160
165,163,160
142,132,122
147,141,135
147,141,135
120,120,119
157,142,128
157,142,128
114,114,118
136,127,117
139,128,116
139,128,116
139,128,116
112,106,99
112,106,99
112,106,99
112,106,99
154,158,154
139,129,120
198,181,162
135,129,122
135,129,122
135,129,122
119,106,99
160,137,110
160,137,110
160,137,110
160,137,110
160,137,110
160,137,110
133,128,121
133,128,121
133,128,121
131,111,104
131,111,104
202,199,194
133,128,121
133,128,121
133,128,121
188,170,151
148,138,130
133,128,121
133,128,121
133,128,121
163,151,141
163,151,141
141,132,124
155,157,159
197,180,162
133,127,121
133,127,121
133,127,121
148,138,130
138,126,114
138,126,114
116,107,100
198,181,163
146,136,128
189,187,185
153,147,141
149,143,137
179,161,141
143,134,126
144,138,133
147,141,135
171,169,167
147,140,135
190,175,156
203,199,194
203,199,194
166,146,121
166,146,121
166,146,121
135,124,111
135,124,111
150,133,120
150,133,120
143,135,127
116,106,98
116,106,98
168,167,165
135,126,119
190,173,154
144,138,132
152,128,116
139,130,123
142,136,130
141,131,119
141,131,119
141,131,119
148,142,136
157,152,146
157,152,146
157,152,146
166,164,161
166,164,161
138,129,122
159,159,160
144,138,132
161,151,141
202,200,198
137,128,122
148,142,136
203,199,195
162,160,157
162,160,157
202,201,198
119,110,104
119,110,104
170,163,156
188,171,152
148,128,115
156,143,130
195,178,159
136,126,119
157,156,154
152,155,157
129,108,101
186,170,151
134,114,94
134,114,94
134,114,94
134,114,94
134,114,94
217,210,200
217,210,200
151,151,149
133,145,160
129,120,112
197,180,161
141,135,130
104, 93,86
104, 93,86
104, 93,86
104, 93,86
203,200,197
160,149,145
186,169,150
129, 99,76
168,166,164
202,200,197
196,179,160
155,155,157
155,155,157
131,124,116
197,181,161
195,180,166
143,124,106
160,149,138
152,145,130
190,175,156
138,122,111
205,196,186
147,139,131
158,157,155
106, 98,92
106, 98,92
160,158,157
135,134,132
203,189,175
165,141,113
165,141,113
162,161,159
162,161,159
147,138,130
204,194,184
162,161,156
154,152,148
199,185,170
155,150,144
164,152,139
142,127,116
162,146,131
145,137,129
198,182,163
195,190,177
205,193,180
156,143,131
146,137,130
208,201,190
166,155,147
166,155,147
194,178,159
145,136,128
158,154,149
199,186,172
199,186,172
190,172,152
213,205,196
140,134,129
164,155,147
161,158,158
149,134,119
198,183,168
198,183,168
198,183,168
140,133,129
194,178,160
141,131,122
134,128,123
192,157,112
114,109,103
141,134,125
140,130,120
138,132,126
135,128,123
191,175,159
191,175,159
191,175,159
191,175,159
145,135,127
155,143,138
198,196,195
194,178,159
138,129,121
151,152,150
151,152,150
144,130,119
144,130,119
144,130,119
195,179,160
202,197,187
114,109,103
159,140,120
159,140,120
159,140,120
142,133,124
196,180,161
112,106,101
168,165,163
157,153,149
157,153,149
157,153,149
164,140,110
150,156,162
150,156,162
118,107,100
118,107,100
118,107,100
167,164,157
167,164,157
141,132,122
138,128,118
138,132,124
193,176,156
111,108,101
169,147,119
214,206,195
136,134,129
133, 97,74
133, 97,74
151,146,139
151,146,139
151,155,154
151,155,154
151,155,154
213,175,117
174,157,136
147,141,138
147,141,138
147,141,138
204,202,200
143,133,123
210,203,193
169,147,118
116,110,105
184,166,146
127,101,81
139,137,134
125,120,115
125,120,115
125,120,115
150,136,129
150,136,129
150,136,129
193,177,163
142,133,124
129,121,117
139,108,96
139,108,96
139,108,96
173,170,168
199,184,170
162,143,123
150,147,144
138,128,118
150,134,124
150,134,124
206,204,202
116,107,101
147,142,136
147,142,136
116,107,102
121,116,112
96,99,99
123,118,114
159,152,149
116,111,105
125,121,116
136,108,88
152,143,134
152,143,134
153,146,142
153,146,142
127,122,118
146,132,121
146,132,121
127,118,114
141,132,123
127,122,117
205,193,180
116,110,106
143,133,124
125,120,116
134,107,86
118,108,105
168,156,145
168,156,145
133,128,123
128,127,126
129,124,120
145,139,137
132,127,123
151,140,134
151,140,134
146,136,128
131,127,122
84,71,64
84,71,64
84,71,64
125,117,115
165,151,138
165,151,138
143,134,124
114,107,104
132,125,121
192,175,158
143,133,125
140,105,95
110,100,101
169,146,115
142,137,132
168,156,145
168,156,145
117,109,99
130,127,123
148,146,149
205,200,189
107,101,101
165,151,138
165,151,138
156,153,150
99,93,82
99,93,82
99,93,82
141,131,122
191,172,155
191,172,155
191,172,155
123,113,106
108,106,103
141,132,123
141,132,123
119, 98,88
172,163,153
172,163,153
172,163,153
155,152,149
155,152,149
141,132,122
137,128,118
142,133,124
160,156,150
204,199,190
155,152,148
146,128,115
146,128,115
146,128,115
166,163,157
186,168,151
161,159,155
120,114,101
116,105,98
150,141,132
106, 91,85
106, 91,85
106, 91,85
168,145,117
168,145,117
168,145,117
168,145,117
168,145,117
149,140,131
161,155,154
95,89,85
173,153,137
146,137,128
146,137,128
82,81,79
172,172,170
154,150,147
135,111,100
135,111,100
168,147,131
168,147,131
150,146,143
172,171,168
197,188,177
178,152,136
178,152,136
153,149,146
145,136,132
145,136,132
116, 96,87
116, 96,87
130,128,124
116,116,107
152,148,145
127,124,120
169,168,166
169,168,166
182,160,141
182,160,141
130,115,109
167,166,164
130,127,123
168,150,135
168,150,135
108, 98,92
108, 98,92
108, 98,92
113,105,97
171,170,169
171,170,169
166,164,162
145,142,137
145,142,137
98,94,91
119,111,104
141,138,136
155,153,151
108,103,98
108,103,98
165,146,130
165,146,130
126,119,108
169,167,164
153,150,147
151,147,145
171,168,165
163,154,143
163,154,143
163,154,143
121,109,102
171,169,167
171,169,167
165,166,163
156,155,151
127,109,103
83,73,68
169,168,167
150,149,147
161,151,141
161,151,141
169,144,107
169,144,107
169,144,107
170,162,152
113,114,106
169,167,166
142,141,138
165,164,161
217,214,209
165,163,161
107, 99,94
114,100,94
114,100,94
120,111,107
148,145,143
171,146,114
171,146,114
161,148,137
131,117,111
131,117,111
112,103,96
134,131,127
221,217,211
116,102,97
160,143,129
131,125,120
175,167,167
131,113,106
131,113,106
131,113,106
145,143,141
162,150,134
142,132,127
159,144,131
159,144,131
114,104,97
156,153,151
156,153,151
156,153,151
156,153,151
156,153,151
141,139,135
142,133,129
171,147,116
117,105,99
144,135,130
160,143,129
160,143,129
160,143,129
187,177,166
187,177,166
187,177,166
142,133,130
150,146,143
150,146,143
150,146,143
150,146,143
150,146,143
110,100,95
102, 90,84
102, 90,84
102, 90,84
102, 90,84
162,158,156
162,158,156
162,158,156
162,158,156
162,158,156
119,113,108
160,156,155
160,156,155
160,156,155
160,156,155
160,156,155
156,140,127
128,119,115
159,154,148
215,209,203
158,148,137
105,101,103
130,128,125
156,142,128
156,142,128
122,117,110
147,144,141
151,146,141
158,155,152
158,155,152
158,155,152
158,155,152
158,155,152
150,144,139
111,109,96
111,109,96
140,125,115
188,176,163
188,176,163
188,176,163
159,148,139
161,155,150
163,161,158
156,145,136
111, 98,87
171,160,149
125,122,119
161,150,140
109,104,98
152,147,144
157,146,137
147,132,121
115,110,101
156,144,134
152,150,146
142,128,113
120,112,109
154,144,134
154,144,134
170,158,147
170,158,147
153,142,132
153,142,132
149,148,145
149,148,145
144,141,138
155,144,134
155,144,134
129,119,112
143,138,134
143,138,134
143,138,134
167,165,164
122,108,101
129,118,116
158,157,156
170,167,154
149,135,122
143,138,134
143,138,134
143,138,134
129,107,100
129,107,100
129,107,100
123,111,111
143,142,140
143,142,140
143,142,140
135,121,114
152,136,123
152,136,123
152,136,123
145,141,136
145,141,136
145,141,136
145,141,136
173,171,170
128,123,116
147,143,137
172,172,169
92,97,86
145,144,141
145,144,141
145,144,141
145,144,141
177,169,163
158,147,137
158,147,137
106,109,96
155,144,135
155,144,135
154,151,148
168,153,140
159,148,136
123,110,100
158,147,136
159,148,137
169,167,164
123,110,103
158,147,136
146,144,142
158,148,136
162,158,152
151,148,145
114,116,110
145,142,135
144,138,131
144,138,131
167,164,161
163,151,140
127,127,117
179,156,124
180,175,170
163,153,143
163,153,143
163,153,143
163,153,143
146,132,120
168,164,157
168,164,157
147,143,138
147,143,138
112,109,106
176,164,160
171,160,151
147,143,140
116, 93,69
116, 93,69
116, 93,69
116, 93,69
170,169,166
166,153,140
166,153,140
166,153,140
146,147,144
165,144,118
173,157,145
189,179,172
174,170,164
142,140,137
142,140,137
92,85,80
144,139,130
166,152,145
104, 94,91
167,164,160
168,164,161
183,180,171
151,136,126
168,151,137
168,151,137
168,151,137
118, 96,89
169,165,159
108, 89,74
108, 89,74
108, 89,74
157,147,135
157,147,135
157,147,135
157,147,135
165,163,162
174,164,154
155,145,133
155,145,133
155,145,133
155,145,133
149,127,104
155,144,133
155,144,133
155,144,133
155,144,133
172,167,162
172,167,162
150,147,145
113, 80,55
156,145,133
156,145,133
156,145,133
156,145,133
167,148,133
167,148,133
124,111,100
170,165,157
154,144,133
154,144,133
154,144,133
154,144,133
139,138,135
89,84,81
178,174,172
146,142,140
149,146,144
154,133,119
154,133,119
166,153,143
166,153,143
94,86,79
89,90,91
178,174,168
164,171,158
139,134,131
111, 91,72
111, 91,72
111, 91,72
111, 91,72
157,154,150
94,89,84
154,151,147
148,143,138
105, 98,99
181,176,170
112,109,105
149,146,144
149,141,139
103, 95,94
156,151,146
170,158,150
165,150,136
165,150,136
165,150,136
167,163,154
147,137,128
157,154,151
157,154,151
157,154,151
157,154,151
157,154,151
113,115,117
149,139,129
160,158,155
160,158,155
160,158,155
160,158,155
160,158,155
162,147,136
162,147,136
162,147,136
141,139,135
152,146,141
101,101,101
150,140,130
158,152,149
151,146,141
90,82,75
