AllPixelMeanR,AllPixelMeanG,AllPixelMeanB
169,164,159
166,161,154
166,161,154
167,161,157
166,162,154
128,124,117
152,147,140
114,111,106
169,165,159
169,165,159
169,165,159
169,165,159
149,142,138
141,137,131
160,147,136
186,183,181
169,140,115
168,163,158
168,163,158
156,141,127
156,141,127
203,200,197
199,196,192
168,163,158
156,140,126
156,140,126
156,140,126
158,152,145
169,164,159
161,145,130
169,139,109
205,202,198
205,202,198
169,165,160
165,136,110
156,151,144
170,166,147
170,166,147
170,166,147
170,166,147
150,145,138
178,175,170
206,202,199
150,145,140
174,173,167
158,152,144
206,204,203
183,175,168
137,130,127
183,180,178
158,152,144
184,186,178
187,185,183
152,126, 87
168,163,156
168,163,156
136,128,120
157,134, 96
157,134, 96
195,191,187
195,191,187
195,191,187
195,191,187
166,161,151
166,161,151
166,161,151
166,161,151
182,179,175
146,119, 97
166,162,154
166,162,154
163,159,157
169,170,164
160,146,134
186,183,180
205,202,198
171,145,106
171,145,106
171,145,106
155,157,147
145,142,140
140,129,121
147,142,136
180,156,131
119,110,103
173,164,154
175,172,168
152,141,127
157,149,147
163,157,147
160,132,111
155,150,142
155,150,142
170,138,100
164,161,158
164,161,158
164,161,158
176,155,133
152,145,144
144,140,134
176,155,132
174,147,131
155,141,127
155,141,127
155,141,127
155,141,127
165,142,108
165,142,108
165,142,108
131,123,109
152,135,123
168,169,161
184,162,140
206,204,201
160,137,119
177,152,115
177,152,115
140,130,117
181,179,175
155,148,146
155,148,146
150,133,106
123, 99, 84
149,131,119
180,160,138
136,103, 70
171,150,130
171,150,130
174,176,177
202,198,192
178,157,135
140,123,109
211,208,205
148,142,136
177,149,125
134,116,103
177,174,171
139,129,122
139,129,122
139,129,122
133,123,109
171,154,124
149,140,137
128,107, 77
178,176,173
153,139,138
206,203,201
208,207,205
149,143,136
136,126,113
151,124,107
157,151,144
112, 87, 65
175,174,169
199,196,192
148,128, 95
148,137,130
155,146,143
207,204,202
160,135,119
182,162,139
138,128,114
138,128,114
165,145,112
152,127,110
152,130,110
155,145,141
150,148,145
183,183,179
160,134, 99
115, 92, 76
158,148,139
154,149,145
154,149,145
141,127,120
141,127,120
159,148,140
167,167,167
155,150,143
155,150,143
155,150,143
174,160,151
143,117, 83
143,117, 83
149,123,106
162,136,102
162,136,102
148,138,131
154,145,141
197,195,189
126,114,100
201,197,192
134,128,122
134,128,122
206,203,200
148,117, 82
166,153,142
134,109, 88
154,143,134
150,122,103
151,140,130
194,190,187
194,190,187
131,104, 84
150,140,131
189,179,165
159,134,114
146,146,146
174,162,150
148,137,128
183,161,141
198,194,189
208,206,205
121, 95, 77
121, 95, 77
147,137,127
190,179,164
186,179,167
155,134, 98
195,168,136
159,152,146
143,131,123
158,131, 97
158,131, 97
158,131, 97
148,122,102
185,181,176
172,165,151
202,171,136
175,149,128
153,143,133
188,178,163
148,137,128
146,138,132
146,138,132
146,138,132
146,138,132
146,138,132
203,201,198
156,151,144
149,139,129
187,181,167
185,182,178
150,140,130
119,100, 91
114, 97, 78
163,135, 95
131,130,128
149,138,129
155,140,124
155,140,124
155,140,124
155,140,124
155,140,124
198,168,136
195,165,133
161,132,105
188,183,176
193,182,166
158,131, 94
169,169,168
188,180,168
156,147,143
157,147,144
132,129,127
138,121,109
138,121,109
138,121,109
138,121,109
172,169,162
152,129, 93
127,109, 94
140,135,128
140,135,128
140,135,128
150,122,106
192,181,167
164,141,122
141,130,120
141,130,120
197,193,180
186,188,172
161,149,138
163,161,159
151,140,131
124,102, 84
156,147,145
172,162,149
150,140,131
156,155,152
151,141,131
190,184,172
135,123,114
148,143,136
148,143,136
148,143,136
143,131,121
143,131,121
177,169,155
142,131,121
142,131,121
134,120,106
135,124,114
135,124,114
142,120,102
142,131,121
142,131,121
149,129,115
153,147,144
145,133,122
159,148,137
131,127,120
131,127,120
148,135,125
166,163,161
137,124,114
148,136,125
168,162,149
163,155,146
167,156,145
150,138,127
179,171,157
136,120,114
148,142,131
149,143,140
184,166,146
148,129,115
152,138,127
152,138,127
159,152,145
137,128,120
158,157,154
155,142,133
155,142,133
158,146,140
154,148,145
147,126, 91
156,144,134
156,144,134
132,121,111
172,166,154
159,130, 99
153,141,131
153,141,131
141,132,124
199,191,181
191,172,155
154,140,128
154,140,128
164,148,119
164,148,119
150,145,143
154,126,106
154,143,134
154,143,134
154,143,134
154,143,134
154,143,134
150,120, 80
150,120, 80
150,120, 80
162,158,152
160,143,123
157,151,145
191,184,170
174,167,153
138,113, 96
191,181,166
144,117, 95
139,128,119
139,128,119
154,147,144
154,147,144
182,176,163
113,115,117
113,115,117
113,115,117
190,172,154
164,163,161
122,109,106
194,183,168
194,183,168
152,131,115
148,121, 84
148,121, 84
148,121, 84
148,121, 84
164,164,161
148,139,130
141,136,129
141,136,129
141,136,129
145,136,127
155,148,145
123,124,124
123,124,124
123,124,124
123,124,124
147,138,130
140,120,112
151,142,134
151,142,134
151,142,134
151,142,134
151,142,134
167,166,164
146,136,128
153,126, 89
156,132,115
146,137,128
163,140,122
159,158,156
187,172,157
169,151,132
169,151,132
169,151,132
156,143,131
171,171,171
148,137,128
148,137,126
155,140,126
146,135,127
138,112, 93
147,136,128
151,140,131
146,126, 93
146,126, 93
146,126, 93
133,123,116
133,123,116
133,123,116
144,133,124
114,116,113
114,116,113
157,135, 99
157,135, 99
157,135, 99
157,135, 99
139,141,138
160,133,115
166,152,141
153,148,145
165,152,141
171,160,162
190,188,186
159,133,115
184,174,160
184,174,160
60, 61, 60
60, 61, 60
162,151,139
171,172,171
185,171,157
185,171,157
143,109, 72
143,109, 72
