AllPixelMeanR,AllPixelMeanG,AllPixelMeanB
179,178,173
179,178,173
179,178,173
179,178,173
179,178,173
179,178,173
116,119,21
181,179,175
181,179,175
181,179,175
181,179,175
117,121,31
117,121,31
140,117,99
140,117,99
112,108,104
112,108,104
112,108,104
143,119,102
143,119,102
130,120,118
160,154,149
160,154,149
160,154,149
186,183,179
186,183,179
186,183,179
127,129,22
186,183,178
186,183,178
186,183,178
186,183,178
131,125,122
133,123,119
133,123,119
159,158,156
159,158,156
159,158,156
159,158,156
159,158,156
158,153,147
158,153,147
158,153,147
179,174,170
179,174,170
179,174,170
179,174,170
160,156,149
160,156,149
158,157,155
158,157,155
158,157,155
158,157,155
158,157,155
136,131,128
186,183,178
186,183,178
186,183,178
186,183,178
137,131,128
137,131,128
137,131,128
137,116,100
137,116,100
208,199,196
208,199,196
208,199,196
149,148,146
149,148,146
149,148,146
149,148,146
149,148,146
138,117,100
138,117,100
136,130,126
136,130,126
132,127,124
132,127,124
181,177,172
181,177,172
181,177,172
181,177,172
135,130,127
135,130,127
129,137,43
142,140,136
142,140,136
135,132,129
135,132,129
135,132,129
138,117,100
138,117,100
186,182,177
186,182,177
186,182,177
186,182,177
150,123,99
175,170,168
175,170,168
182,179,174
182,179,174
182,179,174
182,179,174
182,179,174
160,158,154
160,158,154
131,132,128
131,132,128
131,132,128
183,179,175
183,179,175
183,179,175
183,179,175
176,172,171
176,172,171
176,172,171
162,160,157
162,160,157
122,130,33
182,178,174
182,178,174
182,178,174
182,178,174
182,178,174
132,130,126
132,130,126
132,130,126
132,130,126
147,129,112
147,129,112
146,128,114
173,172,167
173,172,167
190,187,182
190,187,182
190,187,182
176,173,170
176,173,170
176,173,170
166,163,159
166,163,159
166,163,159
185,182,178
185,182,178
185,182,178
185,182,178
185,182,178
185,182,178
144,129,114
144,129,114
169,168,164
169,168,164
169,168,164
171,170,168
162,160,156
162,160,156
162,160,156
190,187,182
190,187,182
190,187,182
190,187,182
190,187,182
153,148,140
157,155,151
157,155,151
157,155,151
166,165,162
166,165,162
166,165,162
159,157,155
159,157,155
159,157,155
172,170,168
172,170,168
172,170,168
172,170,168
114,104,95
188,185,180
188,185,180
188,185,180
188,185,180
154,153,151
151,150,147
151,150,147
156,162,159
156,162,159
149,148,146
149,148,146
149,148,146
153,152,150
153,152,150
153,152,150
164,163,161
164,163,161
164,163,161
162,162,159
162,162,159
162,162,159
170,169,168
182,178,173
182,178,173
182,178,173
182,178,173
135,114,97
135,114,97
162,159,156
162,159,156
162,161,159
162,161,159
162,161,159
117,113,112
117,113,112
135,133,128
135,133,128
135,133,128
161,160,158
161,160,158
161,160,158
154,153,151
154,153,151
154,153,151
162,161,159
162,161,159
162,161,159
124,105,91
124,105,91
165,163,162
165,163,162
165,163,162
184,180,175
184,180,175
184,180,175
184,180,175
136,128,116
161,160,158
161,160,158
161,160,158
98,92,87
98,92,87
151,149,147
151,149,147
151,149,147
138,138,133
138,138,133
138,138,133
159,160,160
159,160,160
167,166,164
179,175,171
179,175,171
179,175,171
179,175,171
161,161,161
161,161,161
161,161,161
160,160,161
160,160,161
160,160,161
172,171,167
172,171,167
187,183,178
187,183,178
187,183,178
145,138,125
141,141,134
182,178,173
182,178,173
182,178,173
182,178,173
174,163,151
203,200,195
183,180,175
183,180,175
183,180,175
168,167,166
122,120,115
122,120,115
122,120,115
148,141,130
181,178,173
181,178,173
181,178,173
181,178,173
170,169,168
170,169,168
173,173,170
173,173,170
173,173,170
181,177,172
181,177,172
181,177,172
181,177,172
149,148,146
149,148,146
149,148,146
149,148,146
165,166,163
165,166,163
176,176,174
176,176,174
173,173,171
173,173,171
173,173,171
176,176,174
176,176,174
176,176,174
136,134,130
136,134,130
136,134,130
136,134,130
136,134,130
176,176,174
176,176,174
176,176,174
177,176,174
148,136,125
176,177,174
143,136,132
143,136,132
181,177,172
181,177,172
181,177,172
181,177,172
178,178,176
178,178,176
130,125,121
130,125,121
149,140,127
182,178,173
182,178,173
182,178,173
177,176,174
177,176,174
167,167,165
167,167,165
167,167,165
184,180,174
184,180,174
169,168,165
169,168,165
169,168,165
169,168,165
166,166,164
166,166,164
166,166,164
166,166,164
171,172,168
171,172,168
171,172,168
173,173,170
173,173,170
173,173,170
184,181,176
184,181,176
184,181,176
156,147,135
168,166,157
168,166,157
182,178,173
182,178,173
182,178,173
173,170,165
173,170,165
173,170,165
173,170,165
158,156,146
158,156,146
156,155,155
156,155,155
156,155,155
156,155,155
182,179,173
182,179,173
182,179,173
152,151,151
152,151,151
152,151,151
152,151,151
160,159,156
160,159,156
160,159,156
182,179,174
182,179,174
182,179,174
140,139,136
140,139,136
166,166,164
166,166,164
166,166,164
135,132,128
169,168,166
169,168,166
169,168,166
180,176,171
180,176,171
180,176,171
193,190,184
193,190,184
193,190,184
166,162,161
166,162,161
166,162,161
167,166,164
167,166,164
167,166,164
168,167,164
168,167,164
170,169,166
170,169,166
170,169,166
170,169,166
170,169,166
170,169,166
193,191,184
193,191,184
193,191,184
193,191,184
191,188,183
191,188,183
191,188,183
140,138,136
136,136,132
136,136,132
172,171,169
172,171,169
172,171,169
191,188,183
164,162,158
164,162,158
164,162,158
163,162,159
163,162,159
163,162,159
165,164,162
165,164,162
165,164,162
165,164,162
184,181,177
184,181,177
184,181,177
167,166,164
167,166,164
167,166,164
181,170,158
167,166,163
154,153,155
154,153,155
154,153,155
191,189,185
180,170,157
152,151,148
172,162,149
172,162,149
182,178,173
182,178,173
159,161,158
159,161,158
146,144,139
146,144,139
146,144,139
146,144,139
150,150,148
150,150,148
150,150,148
150,150,148
163,150,137
163,150,137
184,180,175
184,180,175
184,180,175
166,154,141
162,161,159
162,161,159
162,161,159
157,160,155
161,160,158
161,160,158
161,160,158
157,156,153
157,156,153
157,156,153
133,126,120
133,126,120
161,159,157
161,159,157
161,159,157
163,161,157
163,161,157
163,161,157
153,152,149
153,152,149
153,152,149
160,158,153
160,158,153
160,158,153
159,158,154
159,158,154
159,158,154
185,181,176
185,181,176
185,181,176
160,159,157
160,159,157
160,159,157
157,155,154
157,155,154
157,155,154
155,150,142
155,154,151
155,154,151
155,154,151
163,163,161
163,163,161
161,160,158
161,160,158
161,160,158
158,157,155
158,157,155
158,157,155
161,160,158
161,160,158
161,160,158
161,160,158
155,154,152
155,154,152
155,154,152
153,152,150
153,152,150
153,152,150
153,152,150
160,148,129
154,153,151
154,153,151
154,153,151
118,112,106
118,112,106
157,156,153
157,156,153
157,156,153
120,116,114
120,116,114
168,155,136
148,148,144
148,148,144
162,150,132
162,150,132
146,144,142
146,144,142
146,144,142
141,140,136
156,151,149
156,151,149
156,151,149
161,159,157
161,159,157
161,159,157
154,149,141
160,158,156
160,158,156
159,136,115
159,136,115
159,157,155
159,157,155
159,157,155
162,158,155
160,158,156
160,158,156
160,158,156
156,143,125
156,156,153
156,156,153
156,156,153
156,156,153
164,163,160
164,163,160
164,163,160
164,163,160
161,160,158
161,160,158
161,160,158
161,160,158
172,165,163
172,165,163
132,109,94
132,109,94
166,165,163
166,165,163
171,159,138
171,159,138
171,159,138
171,159,138
171,159,138
162,162,160
162,162,160
162,162,160
151,150,146
138,122,106
138,122,106
132,122,111
132,122,111
132,122,111
159,146,125
159,146,125
159,146,125
159,146,125
133,125,116
133,125,116
159,158,156
159,158,156
159,158,156
144,123,105
144,123,105
171,170,169
171,170,169
171,170,169
126,122,121
160,161,159
160,161,159
160,161,159
167,168,166
167,168,166
167,168,166
144,142,141
144,142,141
144,142,141
163,163,161
163,163,161
163,163,161
144,123,105
144,123,105
151,132,113
151,132,113
164,163,161
164,163,161
164,163,161
161,160,159
161,160,159
161,160,159
161,160,159
154,148,144
153,154,150
153,154,150
153,154,150
149,144,139
149,144,139
154,155,152
154,155,152
154,155,152
152,153,149
152,153,149
152,153,149
152,153,149
146,142,140
146,142,140
146,142,140
168,167,165
168,167,165
168,167,165
168,167,165
118,111,102
118,111,102
118,111,102
118,111,102
157,145,127
157,145,127
157,145,127
161,160,158
161,160,158
161,160,158
124,121,116
124,121,116
124,121,116
133,115,107
133,115,107
158,146,127
158,146,127
156,151,151
156,151,151
156,151,151
165,161,160
165,161,160
165,161,160
128,117,107
128,117,107
128,117,107
143,122,106
143,122,106
168,162,162
168,162,162
168,162,162
149,136,117
149,136,117
149,136,117
149,136,117
163,162,160
163,162,160
163,162,160
137,117,100
137,117,100
152,134,129
152,134,129
152,134,129
171,170,168
171,170,168
171,170,168
162,161,159
162,161,159
162,161,159
138,119,103
138,119,103
143,138,127
143,138,127
132,116,105
132,116,105
142,120,102
142,120,102
167,167,164
167,167,164
167,167,164
167,167,164
120,112,101
120,112,101
120,112,101
120,112,101
174,161,141
174,161,141
174,161,141
169,169,167
169,169,167
169,169,167
169,169,167
171,169,155
152,144,137
152,144,137
152,144,137
171,170,154
171,170,154
163,162,160
163,162,160
163,162,160
160,159,157
160,159,157
153,140,122
186,177,167
121,122,118
121,122,118
121,122,118
121,122,118
160,158,157
160,158,157
160,158,157
159,146,128
159,146,128
159,146,128
164,160,158
164,160,158
164,160,158
183,165,148
165,160,158
165,160,158
165,160,158
122,112,102
122,112,102
122,112,102
122,112,102
159,146,128
159,146,128
159,146,128
166,166,163
166,166,163
166,166,163
166,166,163
158,156,155
158,156,155
158,156,155
170,163,155
170,163,155
170,163,155
170,163,155
161,158,156
132,126,112
132,126,112
132,126,112
163,160,156
163,160,156
163,160,156
142,118,99
168,167,165
168,167,165
159,158,157
159,158,157
162,161,159
162,161,159
162,161,159
148,133,116
138,132,126
138,132,126
138,132,126
138,132,126
169,169,166
169,169,166
169,169,166
111,87,67
111,87,67
111,87,67
167,154,136
167,154,136
167,154,136
165,164,162
165,164,162
165,164,162
132,124,115
132,124,115
132,124,115
132,124,115
137,129,118
137,129,118
137,129,118
155,142,121
155,142,121
163,163,161
163,163,161
163,163,161
133,129,121
133,129,121
133,129,121
133,129,121
125,117,108
125,117,108
125,117,108
125,117,108
159,145,128
136,127,115
136,127,115
136,127,115
136,127,115
158,158,153
158,158,153
158,158,153
140,131,126
140,131,126
140,131,126
156,155,150
156,155,150
156,155,150
147,146,144
147,146,144
147,146,144
147,146,144
127,107,98
127,107,98
127,107,98
159,157,153
159,157,153
159,157,153
124,116,106
124,116,106
124,116,106
124,116,106
167,154,135
167,154,135
167,154,135
131,121,112
131,121,112
131,121,112
143,142,138
143,142,138
143,142,138
143,142,138
138,133,127
138,133,127
138,133,127
143,142,141
143,142,141
160,160,159
160,160,159
168,169,166
168,169,166
168,169,166
121,117,113
121,117,113
121,117,113
143,140,137
143,140,137
143,140,137
126,116,106
126,116,106
126,116,106
126,116,106
175,166,157
180,164,142
173,170,169
173,170,169
173,170,169
177,171,167
177,171,167
177,171,167
174,171,168
174,171,168
174,171,168
164,149,130
170,170,168
170,170,168
170,170,168
162,160,157
162,160,157
162,160,157
162,160,157
162,160,157
128,121,111
171,153,133
171,153,133
171,153,133
170,169,167
170,169,167
171,164,156
171,161,151
171,161,151
136,121,104
136,121,104
136,121,104
147,140,132
147,140,132
163,162,161
163,162,161
159,160,156
159,160,156
159,160,156
124,97,73
124,97,73
124,97,73
124,97,73
162,159,156
162,159,156
162,159,156
163,153,145
164,165,161
164,165,161
164,165,161
142,128,112
147,134,117
147,134,117
147,134,117
151,144,134
151,144,134
144,135,121
144,135,121
154,142,132
166,166,164
166,166,164
166,166,164
167,167,165
167,167,165
167,167,165
167,167,165
122,93,71
122,93,71
122,93,71
154,129,107
166,166,164
166,166,164
166,166,164
149,125,104
148,124,103
163,163,161
163,163,161
163,163,161
153,139,126
153,139,126
169,168,166
169,168,166
169,168,166
168,168,166
168,168,166
168,168,166
173,173,170
173,173,170
173,173,170
164,164,162
164,164,162
164,164,162
121,108,95
121,108,95
121,108,95
114,106,100
114,106,100
114,106,100
114,106,100
133,127,120
133,127,120
118,112,103
118,112,103
109,103,94
109,103,94
110,104,94
110,104,94
110,104,94
140,133,122
140,133,122
140,133,122
167,169,163
159,159,152
159,159,152
151,140,126
151,140,126
126,117,102
126,117,102
138,117,101
138,117,101
90,80,71
90,80,71
90,80,71
157,147,132
157,147,132
130,119,111
130,119,111
130,119,111
150,137,123
150,137,123
94,84,74
94,84,74
94,84,74
93,86,83
133,125,113
133,125,113
146,134,126
146,135,120
146,135,120
88,83,74
88,83,74
88,83,74
88,83,74
88,83,74
76,75,74
80,70,63
80,70,63
80,70,63
80,70,63
141,129,120
141,129,120
141,129,120
152,142,130
152,142,130
131,121,106
131,121,106
133,124,111
133,124,111
108,94,85
108,94,85
108,94,85
149,139,126
149,139,126
84,80,72
84,80,72
156,145,131
156,145,131
81,75,67
81,75,67
81,75,67
81,75,67
116,99,87
116,99,87
116,99,87
149,143,133
149,143,133
112,104,92
111,104,96
101,95,84
182,176,167
138,129,118
138,129,118
111,102,91
111,102,91
114,95,82
152,141,128
152,141,128
109,90,78
134,127,118
134,127,118
84,76,68
84,76,68
84,76,68
84,74,65
84,74,65
106,98,88
106,98,88
106,98,88
106,98,88
85,80,72
85,80,72
85,80,72
115,107,94
115,107,94
122,114,100
122,114,100
120,111,97
120,111,97
162,153,147
162,153,147
162,153,147
162,153,147
143,141,139
133,122,110
133,122,110
120,112,102
120,112,102
120,112,102
79,71,66
79,71,66
79,71,66
142,131,117
142,131,117
116,108,97
116,108,97
84,78,72
142,139,137
91,85,78
91,85,78
154,141,126
154,141,126
154,141,126
136,139,129
136,139,129
149,143,138
149,143,138
133,123,109
133,123,109
133,123,109
132,134,126
132,134,126
132,134,126
129,120,111
129,120,111
121,113,107
121,113,107
116,107,92
130,126,126
139,133,123
139,133,123
137,131,129
137,131,129
126,116,108
126,116,108
126,116,108
79,74,65
79,74,65
109,103,92
109,103,92
145,139,130
145,139,130
147,143,141
147,143,141
147,143,141
147,143,141
139,128,119
139,128,119
146,140,133
146,140,133
152,142,127
152,142,127
129,119,113
124,118,107
124,118,107
151,141,127
151,141,127
125,119,108
125,119,108
135,124,117
83,75,66
83,75,66
125,120,112
144,134,121
124,117,104
90,82,74
90,82,74
90,82,74
90,82,74
141,135,126
141,135,126
130,120,107
83,76,68
83,76,68
83,76,68
123,114,99
123,114,99
75,69,61
75,69,61
115,90,64
115,90,64
148,136,126
148,136,126
126,118,112
126,118,112
154,144,131
154,144,131
133,126,114
133,126,114
121,96,68
121,96,68
121,96,68
138,129,116
138,129,116
138,129,116
155,145,131
155,145,131
155,145,131
78,71,63
78,71,63
160,149,133
160,149,133
142,136,125
142,136,125
150,138,125
150,138,125
150,138,125
135,126,116
135,126,116
135,126,116
158,147,134
158,147,134
158,147,134
140,132,122
140,132,122
140,132,122
92,82,74
92,82,74
92,82,74
140,138,130
86,79,70
86,79,70
86,79,70
149,139,130
149,139,130
143,133,123
143,133,123
151,140,130
151,140,130
144,134,125
144,134,125
134,124,116
134,124,116
135,126,118
135,126,118
157,155,153
157,155,153
142,133,124
142,133,124
147,136,128
147,136,128
137,128,121
137,128,121
143,132,123
143,132,123
130,120,112
130,120,112
148,138,128
148,138,128
150,141,132
150,141,132
147,144,137
146,136,128
146,136,128
146,136,128
150,140,132
150,140,132
150,140,132
126,116,108
126,116,108
126,116,108
133,124,116
133,124,116
159,150,139
161,156,149
161,156,149
150,146,136
135,131,124
159,148,138
159,148,138
159,148,138
156,147,137
156,147,137
156,147,137
157,147,139
161,151,139
161,151,139
161,151,139
152,141,129
152,141,129
152,141,129
159,145,134
159,145,134
152,134,113
143,132,124
143,132,124
156,140,120
156,140,120
156,142,122
156,142,122
156,142,122
149,139,130
149,139,130
153,143,134
153,143,134
150,140,133
150,140,133
145,135,127
145,135,127
147,137,128
147,137,128
126,120,109
120,115,106
135,130,122
147,145,137
147,145,137
147,145,137
121,115,108
119,112,106
119,112,106
128,125,117
91,81,73
91,81,73
178,161,149
128,124,117
95,85,78
95,85,78
95,85,78
132,119,115
132,119,115
132,119,115
112,106,102
112,106,102
82,81,79
82,81,79
82,81,79
186,185,166
147,133,115
156,147,146
156,147,146
211,203,195
211,203,195
160,148,133
140,135,126
140,135,126
153,137,121
190,186,182
187,183,179
155,138,120
155,138,120
150,145,137
113,107,101
113,107,101
158,139,117
158,139,117
158,139,117
124,115,109
124,115,109
182,181,177
182,181,177
157,147,137
157,147,137
115,104,97
115,104,97
142,129,108
142,129,108
139,135,128
143,130,107
143,130,107
97,94,87
97,94,87
97,94,87
83,75,69
83,75,69
83,75,69
138,123,101
87,81,75
87,81,75
87,81,75
119,119,120
119,119,120
117,117,118
134,105,78
134,105,78
123,123,121
123,123,121
87,80,74
87,80,74
87,80,74
117,113,113
117,113,113
86,77,68
86,77,68
86,77,68
97,90,85
97,90,85
78,73,68
78,73,68
131,122,116
131,122,116
191,188,185
191,188,185
192,189,187
192,189,187
192,189,187
192,189,187
186,182,179
186,182,179
186,182,179
83,76,68
83,76,68
83,76,68
149,136,127
131,125,120
155,136,109
161,159,161
110,103,92
173,171,168
173,171,168
173,171,168
173,171,168
156,134,107
152,130,104
152,130,104
152,130,104
142,114,90
142,114,90
163,159,157
161,157,156
153,146,146
163,159,159
163,160,158
163,160,158
162,158,157
162,158,157
163,159,157
163,159,157
174,171,169
162,157,157
162,157,157
163,159,157
163,159,157
162,159,159
162,159,159
163,160,159
163,160,159
164,160,159
164,160,159
165,162,160
165,162,160
213,182,52
213,182,52
159,154,147
211,175,57
211,175,57
147,134,119
147,134,119
147,133,117
147,133,117
145,140,132
145,140,132
145,131,116
145,131,116
145,131,116
141,127,109
141,127,109
141,127,109
141,127,109
168,148,29
168,148,29
136,119,100
136,119,100
136,119,100
136,119,100
136,119,100
136,129,119
136,129,119
212,177,58
212,177,58
212,177,58
138,130,120
138,130,120
138,130,120
139,128,115
139,128,115
139,128,115
139,128,115
139,128,115
141,131,118
141,131,118
141,131,118
141,131,119
141,131,119
141,131,119
141,131,119
156,151,142
156,151,142
140,131,119
140,131,119
140,131,119
140,129,109
136,122,105
136,122,105
136,122,105
136,122,105
136,122,105
142,129,112
142,129,112
142,129,112
142,129,112
135,122,107
135,122,107
135,122,107
132,120,105
132,120,105
132,120,105
132,120,105
138,123,105
138,123,105
138,123,105
135,125,115
135,125,115
136,125,112
136,125,112
136,125,112
140,130,118
140,130,118
140,130,118
140,130,118
136,125,106
136,125,106
155,149,141
132,119,103
132,119,103
132,119,103
132,119,103
156,150,143
156,150,143
135,121,103
135,121,103
135,121,103
135,121,103
141,126,106
141,126,106
141,126,106
141,126,106
141,126,106
137,122,103
137,122,103
137,122,103
137,122,103
137,122,103
138,121,101
138,121,101
138,121,101
138,121,101
138,121,101
145,133,118
145,133,118
145,133,118
156,150,142
156,150,142
156,150,142
141,129,113
141,129,113
141,129,113
141,129,113
141,130,117
141,130,117
141,130,117
139,128,115
139,128,115
139,128,115
139,128,115
166,163,158
166,163,158
166,163,158
146,134,119
146,134,119
146,134,119
146,134,119
146,134,119
149,136,121
149,136,121
149,136,121
149,136,121
166,160,152
205,185,51
205,185,51
205,185,51
205,185,51
139,128,116
139,128,116
139,128,116
134,124,113
134,124,113
134,124,113
134,124,113
144,129,111
144,129,111
144,129,111
144,129,111
147,134,119
147,134,119
147,134,119
209,175,55
209,175,55
209,175,55
141,128,112
141,128,112
141,128,112
141,128,112
128,111,87
128,111,87
128,111,87
133,119,103
133,119,103
133,119,103
133,119,103
137,121,101
137,121,101
137,121,101
137,121,101
134,123,111
134,123,111
134,123,111
134,123,111
146,134,121
146,134,121
146,134,121
146,134,121
208,179,58
208,179,58
208,179,58
139,122,103
139,122,103
139,122,103
139,122,103
138,128,116
138,128,116
138,128,116
138,128,116
171,167,162
129,117,104
129,117,104
129,117,104
129,117,104
129,117,104
207,183,54
207,183,54
207,183,54
132,118,101
132,118,101
132,118,101
132,118,101
153,148,140
153,148,140
153,148,140
134,117,100
134,117,100
134,117,100
134,117,100
134,117,100
163,158,153
134,116,98
134,116,98
134,116,98
134,116,98
202,181,62
202,181,62
202,181,62
202,181,62
160,156,151
168,151,131
168,151,131
168,151,131
190,173,157
104,90,74
104,90,74
170,150,35
170,150,35
96,87,77
142,122,99
203,181,63
203,181,63
142,134,128
142,134,128
160,155,150
162,158,153
162,158,153
208,183,56
208,183,56
208,183,56
150,150,149
150,150,149
150,150,149
151,141,130
153,139,120
153,139,120
153,139,120
153,139,120
152,134,109
152,134,109
152,134,109
152,134,109
152,138,120
152,138,120
152,138,120
151,135,114
151,135,114
151,135,114
151,135,114
151,135,114
149,134,114
149,134,114
149,134,114
149,134,114
149,134,114
150,135,115
150,135,115
150,135,115
150,135,115
150,135,115
156,142,123
156,142,123
156,142,123
156,142,123
153,137,117
153,137,117
153,137,117
153,137,117
156,138,112
156,138,112
156,138,112
156,138,112
155,138,114
155,138,114
155,138,114
155,138,114
155,138,114
154,137,114
154,137,114
154,137,114
154,137,114
154,137,114
155,139,117
155,139,117
155,139,117
155,139,117
156,140,119
156,140,119
156,140,119
156,140,119
156,140,119
152,136,113
152,136,113
152,136,113
152,136,113
152,136,113
152,138,119
152,138,119
152,138,119
148,135,115
148,135,115
148,135,115
139,127,114
139,127,114
139,127,114
139,127,114
138,128,116
138,128,116
138,128,116
142,131,118
142,131,118
142,131,118
142,131,118
144,134,122
144,134,122
144,134,122
144,134,122
144,134,122
139,131,120
139,131,120
139,131,120
139,131,120
141,132,122
141,132,122
141,132,122
142,134,124
142,134,124
139,131,121
139,131,121
139,131,121
143,135,123
143,135,123
143,135,123
143,135,123
157,138,110
157,138,110
143,134,122
143,134,122
143,134,122
143,134,122
143,134,122
140,127,108
140,127,108
140,127,108
140,127,108
140,127,108
151,133,106
142,128,109
142,128,109
142,128,109
142,128,109
144,127,104
144,127,104
144,127,104
144,127,104
144,127,104
155,136,108
155,136,108
157,138,110
157,138,110
139,128,115
139,128,115
139,128,115
139,128,115
156,136,107
156,136,107
152,133,106
152,133,106
141,127,109
141,127,109
141,127,109
141,127,109
141,127,109
143,133,122
143,133,122
143,133,122
143,133,122
149,138,123
149,138,123
149,138,123
149,138,123
147,138,127
147,138,127
147,138,127
147,138,127
147,138,127
150,140,127
150,140,127
150,140,127
151,142,130
151,142,130
151,142,130
151,142,130
152,143,131
152,143,131
152,143,131
152,143,131
152,143,131
150,139,125
150,139,125
150,139,125
150,139,125
150,139,125
152,142,129
152,142,129
152,142,129
152,142,129
152,142,129
165,151,119
165,151,119
165,151,119
165,151,119
146,134,119
146,134,119
146,134,119
146,134,119
146,134,119
148,136,122
148,136,122
148,136,122
148,136,122
148,136,122
162,146,119
162,146,119
147,136,123
147,136,123
147,136,123
147,136,123
162,144,118
162,144,118
162,144,118
162,144,118
162,144,118
144,131,116
144,131,116
144,131,116
166,150,121
166,150,121
144,132,118
144,132,118
144,132,118
144,132,118
163,148,121
163,148,121
142,122,97
142,122,97
142,122,97
162,144,119
162,144,119
171,148,111
171,148,111
171,148,111
160,143,113
160,143,113
160,143,113
160,143,113
160,143,113
165,149,119
165,149,119
124,133,44
124,133,44
124,133,44
161,147,122
161,147,122
161,147,122
162,146,117
162,146,117
163,147,118
163,147,118
163,147,118
163,147,118
96,94,91
160,143,113
160,143,113
160,143,113
162,145,116
162,145,116
162,145,115
162,145,115
162,145,115
163,146,118
163,146,118
163,146,118
163,146,118
160,141,111
160,141,111
160,141,111
160,141,111
162,146,118
162,146,118
162,146,118
162,146,118
164,147,120
164,147,120
160,144,115
160,144,115
155,150,147
144,139,131
157,140,112
157,140,112
157,140,112
157,138,107
157,138,107
163,146,116
163,146,116
163,146,116
163,147,118
163,147,118
159,141,111
159,141,111
159,141,111
159,141,111
166,159,153
166,159,153
166,159,153
165,147,115
165,147,115
165,147,115
165,145,114
145,141,133
145,141,133
167,148,116
167,148,116
167,148,116
142,125,104
142,125,104
167,148,114
167,148,114
156,137,106
156,137,106
155,136,106
155,136,106
160,140,111
160,140,111
160,140,111
153,134,104
153,134,104
153,134,104
165,149,121
165,149,121
158,142,112
158,142,112
163,146,117
163,146,117
163,146,117
161,144,114
161,144,114
161,145,117
161,145,117
164,146,118
164,146,118
164,147,120
164,147,120
164,147,120
165,146,115
165,146,115
157,139,111
157,139,111
158,141,113
158,141,113
161,144,115
161,144,115
156,139,110
156,139,110
161,143,112
161,143,112
166,145,110
166,145,110
165,164,163
157,139,110
157,139,110
159,157,153
159,157,153
153,149,143
146,144,138
163,146,117
163,146,117
185,165,45
185,165,45
161,142,111
161,142,111
148,145,140
165,147,117
165,147,117
165,147,117
158,155,152
154,137,107
154,137,107
159,158,155
159,158,155
159,158,155
139,134,127
139,134,127
139,134,127
160,157,154
164,163,160
164,163,160
152,149,147
152,149,147
148,146,143
148,146,143
148,146,143
152,152,150
152,152,150
172,164,156
181,159,40
181,159,40
181,159,40
144,142,139
147,145,141
147,145,141
147,145,141
205,181,61
205,181,61
205,181,61
137,135,133
164,147,121
141,106,82
160,142,115
135,112,93
206,181,50
206,181,50
206,181,50
128,107,87
160,141,114
160,141,114
158,139,108
158,139,108
158,139,108
162,142,112
162,142,112
167,165,162
167,165,162
167,165,162
167,165,162
156,139,111
156,139,111
156,139,108
156,139,108
170,167,164
166,148,123
166,148,123
166,148,123
