AllPixelMeanR,AllPixelMeanG,AllPixelMeanB
186,183,177
183,180,175
183,180,175
183,180,175
187,184,179
187,184,179
188,184,179
188,184,179
188,184,179
185,180,175
185,180,175
185,180,175
185,180,175
183,180,175
183,180,175
183,180,175
183,180,175
187,183,178
187,183,178
187,183,178
187,183,178
126,118,116
187,183,178
187,183,178
187,183,178
187,183,178
187,183,178
185,182,176
185,182,176
185,182,176
185,182,176
136,145,57
136,145,57
136,145,57
124,116,107
124,116,107
134,124,119
189,186,181
189,186,181
189,186,181
189,186,181
129,139,48
160,148,135
186,183,178
186,183,178
186,183,178
190,186,182
190,186,182
182,179,174
182,179,174
182,179,174
189,169,152
185,182,177
185,182,177
185,182,177
133,142,46
130,137,46
130,137,46
186,161,139
186,183,177
186,183,177
186,183,177
186,183,177
173,146,123
172,169,164
172,169,164
172,169,164
172,169,164
182,179,175
182,179,175
182,179,175
182,179,175
133,142,46
185,182,177
185,182,177
185,182,177
185,182,177
185,182,177
185,152,123
186,183,178
186,183,178
186,183,178
186,183,178
186,183,178
174,139,109
186,181,176
186,181,176
186,181,176
186,181,176
186,181,176
138,131,29
132,127,118
132,127,118
185,181,176
185,181,176
185,181,176
185,181,176
185,181,176
191,188,183
191,188,183
191,188,183
191,188,183
191,188,183
125,134,36
191,188,184
191,188,184
137,145,54
186,184,178
186,184,178
186,184,178
185,182,176
185,182,176
185,182,176
184,180,174
184,180,174
184,180,174
184,180,174
153,126,105
128,120,118
188,185,179
188,185,179
188,185,179
147,123,104
147,123,104
144,144,139
144,144,139
184,180,175
184,180,175
184,180,175
153,128,106
153,128,106
153,128,106
138,114,95
138,114,95
190,186,181
190,186,181
190,186,181
190,186,181
144,122,104
144,122,104
144,122,104
144,122,104
144,122,104
152,150,148
152,150,148
153,151,149
153,151,149
126,125,126
126,125,126
126,125,126
156,154,152
156,154,152
124,121,117
124,121,117
124,121,117
159,158,156
159,158,156
189,186,181
189,186,181
189,186,181
119,129,48
139,137,131
141,134,124
141,134,124
141,134,124
140,140,135
140,140,135
140,140,135
182,178,173
182,178,173
161,153,146
161,153,146
161,153,146
161,153,146
201,183,164
181,178,173
181,178,173
181,178,173
140,136,133
140,136,133
194,187,175
143,142,137
143,142,137
143,142,137
112,119,36
187,188,183
187,188,183
187,188,183
122,122,115
122,122,115
201,198,196
201,198,196
201,198,196
133,130,125
133,130,125
133,142,48
184,181,176
184,181,176
184,181,176
184,181,176
138,136,133
138,136,133
138,142,134
138,142,134
123,128,26
140,135,127
140,135,127
140,135,127
131,138,50
182,181,176
182,181,176
182,181,176
182,181,176
134,132,127
134,132,127
134,132,127
138,139,133
138,139,133
138,139,133
